event,date
Long_Weekend,1/1/2018
Chinese_New_Year,2/15/2018
Chinese_New_Year,2/16/2018
Chinese_New_Year,2/17/2018
Chinese_New_Year,2/18/2018
Chinese_New_Year,2/19/2018
Chinese_New_Year,2/20/2018
One_Day_Holiday,2/28/2018
Makeup_Workday,3/31/2018
Long_Weekend,4/4/2018
Long_Weekend,4/5/2018
Long_Weekend,4/6/2018
Long_Weekend,4/7/2018
Long_Weekend,4/8/2018
One_Day_Holiday,5/1/2018
Long_Weekend,6/16/2018
Long_Weekend,6/17/2018
Long_Weekend,6/18/2018
Typhoon_Maria,7/10/2018
Long_Weekend,9/22/2018
Long_Weekend,9/23/2018
Long_Weekend,9/24/2018
One_Day_Holiday,10/10/2018
Makeup_Workday,12/22/2018
Long_Weekend,12/29/2018
Long_Weekend,12/30/2018
Long_Weekend,12/31/2018
Long_Weekend,1/1/2019
Makeup_Workday,1/19/2019
Chinese_New_Year,2/2/2019
Chinese_New_Year,2/3/2019
Chinese_New_Year,2/4/2019
Chinese_New_Year,2/5/2019
Chinese_New_Year,2/6/2019
Chinese_New_Year,2/7/2019
Chinese_New_Year,2/8/2019
Chinese_New_Year,2/9/2019
Chinese_New_Year,2/10/2019
Makeup_Workday,2/23/2019
Long_Weekend,2/28/2019
Long_Weekend,3/1/2019
Long_Weekend,3/2/2019
Long_Weekend,3/3/2019
Long_Weekend,4/4/2019
Long_Weekend,4/5/2019
Long_Weekend,4/6/2019
Long_Weekend,4/7/2019
One_Day_Holiday,5/1/2019
Long_Weekend,6/7/2019
Long_Weekend,6/8/2019
Long_Weekend,6/9/2019
Typhoon_Lekima,8/9/2019
Long_Weekend,9/13/2019
Long_Weekend,9/14/2019
Long_Weekend,9/15/2019
Typhoon_Mitag,9/30/2019
Makeup_Workday,10/5/2019
Long_Weekend,10/10/2019
Long_Weekend,10/11/2019
Long_Weekend,10/12/2019
Long_Weekend,10/13/2019
One_Day_Holiday,1/1/2020
Chinese_New_Year,1/23/2020
Chinese_New_Year,1/24/2020
Chinese_New_Year,1/25/2020
Chinese_New_Year,1/26/2020
Chinese_New_Year,1/27/2020
Chinese_New_Year,1/28/2020
Chinese_New_Year,1/29/2020
Makeup_Workday,2/15/2020
Long_Weekend,2/28/2020
Long_Weekend,2/29/2020
Long_Weekend,3/1/2020
Long_Weekend,4/2/2020
Long_Weekend,4/3/2020
Long_Weekend,4/4/2020
Long_Weekend,4/5/2020
One_Day_Holiday,5/1/2020
Makeup_Workday,6/20/2020
Makeup_Workday,9/26/2020
Long_Weekend,10/1/2020
Long_Weekend,10/2/2020
Long_Weekend,10/3/2020
Long_Weekend,10/4/2020
Long_Weekend,10/9/2020
Long_Weekend,10/10/2020
Long_Weekend,10/11/2020
Long_Weekend,1/1/2021
Long_Weekend,1/2/2021
Long_Weekend,1/3/2021
Chinese_New_Year,2/10/2021
Chinese_New_Year,2/11/2021
Chinese_New_Year,2/12/2021
Chinese_New_Year,2/13/2021
Chinese_New_Year,2/14/2021
Chinese_New_Year,2/15/2021
Chinese_New_Year,2/16/2021
Makeup_Workday,2/20/2021
Long_Weekend,2/27/2021
Long_Weekend,2/28/2021
Long_Weekend,3/1/2021
Long_Weekend,4/2/2021
Long_Weekend,4/3/2021
Long_Weekend,4/4/2021
Long_Weekend,4/5/2021
Long_Weekend,4/30/2021
Long_Weekend,5/1/2021
Long_Weekend,5/2/2021
20210513Blackout,5/13/2021
20210517Blackout,5/17/2021
Long_Weekend,6/12/2021
Long_Weekend,6/13/2021
Long_Weekend,6/14/2021
Makeup_Workday,9/11/2020
Typhoon_Chanthu,9/12/2020
Long_Weekend,9/18/2021
Long_Weekend,9/19/2021
Long_Weekend,9/20/2021
Long_Weekend,9/21/2021
Long_Weekend,10/9/2021
Long_Weekend,10/10/2021
Long_Weekend,10/11/2021
Long_Weekend,12/31/2021
Long_Weekend,1/1/2022
Long_Weekend,1/2/2022
Makeup_Workday,1/22/2022
Chinese_New_Year,2/1/2022
Chinese_New_Year,2/2/2022
Chinese_New_Year,2/3/2022
Chinese_New_Year,2/4/2022
Chinese_New_Year,2/5/2022
Chinese_New_Year,2/6/2022
Long_Weekend,2/26/2022
Long_Weekend,2/27/2022
Long_Weekend,2/28/2022
20220303Blackout,3/3/2022
Long_Weekend,4/4/2022
Long_Weekend,4/5/2022
Long_Weekend,4/6/2022
Long_Weekend,4/7/2022
Long_Weekend,4/30/2022
Long_Weekend,5/1/2022
Long_Weekend,5/2/2022
Long_Weekend,6/3/2022
Long_Weekend,6/4/2022
Long_Weekend,6/5/2022
Long_Weekend,9/9/2022
Long_Weekend,9/10/2022
Long_Weekend,9/11/2022
Long_Weekend,10/8/2022
Long_Weekend,10/9/2022
Long_Weekend,10/10/2022
Long_Weekend,12/31/2022
