"觀測時間(day)","測站氣壓(hPa)","海平面氣壓(hPa)","測站最高氣壓(hPa)","測站最高氣壓時間(LST)","測站最低氣壓(hPa)","測站最低氣壓時間(LST)","氣溫(℃)","最高氣溫(℃)","最高氣溫時間(LST)","最低氣溫(℃)","最低氣溫時間(LST)","露點溫度(℃)","相對溼度(%)","最小相對溼度(%)","最小相對溼度時間(LST)","風速(m/s)","風向(360degree)","最大陣風(m/s)","最大陣風風向(360degree)","最大陣風風速時間(LST)","降水量(mm)","降水時數(hour)","最大十分鐘降水量(mm)","最大十分鐘降水量起始時間(LST)","最大六十分鐘降水量(mm)","最大六十分鐘降水量起始時間(LST)","日照時數(hour)","日照率(%)","全天空日射量(MJ/㎡)","能見度(km)","A型蒸發量(mm)","日最高紫外線指數","日最高紫外線指數時間(LST)","總雲量(0~10)"
"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpMax60","PrecpMax60Time","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1016.4","1018.3","1018.4","2022-04-01 21:41","1014.9","2022-04-01 03:16","21.0","25.7","2022-04-01 11:23","17.6","2022-04-01 23:59","16.4","75","63","2022-04-01 11:17","1.1","360","6.2","20","2022-04-01 01:26","0.0","0.0","0.0","...","0.0","...","1.4","11.4","12.78","10.5","-5.8","9","2022-04-01 11:00","8.3"
"02","1017.9","1019.8","1019.2","2022-04-02 08:56","1016.8","2022-04-02 04:31","16.2","17.6","2022-04-02 00:01","14.9","2022-04-02 23:38","13.8","87","72","2022-04-02 00:01","1.0","350","8.0","340","2022-04-02 00:07","0.5","7.2","0.5","2022-04-02 16:35","0.5","2022-04-02 16:35","0.0","0.0","5.08","7.8","-0.2","3","2022-04-02 13:00","10.0"
"03","1018.0","1019.9","1019.5","2022-04-03 10:18","1016.7","2022-04-03 04:13","16.4","20.3","2022-04-03 14:45","14.3","2022-04-03 04:38","15.2","93","81","2022-04-03 14:48","0.8","360","5.6","340","2022-04-03 07:43","1.5","7.9","0.5","2022-04-03 01:49","0.5","2022-04-03 01:49","0.0","0.0","8.42","3.5","-1.6","5","2022-04-03 13:00","10.0"
"04","1018.8","1020.7","1020.1","2022-04-04 08:18","1017.0","2022-04-04 15:41","20.1","26.6","2022-04-04 14:47","14.3","2022-04-04 06:29","16.2","81","54","2022-04-04 10:55","1.2","340","7.5","270","2022-04-04 14:40","0.0","0.0","0.0","...","0.0","...","6.9","55.7","24.49","8.5","4.1","11","2022-04-04 13:00","5.3"
"05","1017.2","1019.1","1019.7","2022-04-05 07:20","1014.0","2022-04-05 15:48","22.5","30.3","2022-04-05 14:39","16.2","2022-04-05 05:46","16.7","73","35","2022-04-05 13:01","0.8","320","7.5","350","2022-04-05 13:27","0.0","0.0","0.0","...","0.0","...","11.7","94.2","26.97","10.5","7.5","11","2022-04-05 13:00","0.8"
"06","1014.9","1016.8","1016.7","2022-04-06 08:35","1012.9","2022-04-06 15:54","22.7","28.3","2022-04-06 13:02","17.9","2022-04-06 02:51","17.7","76","45","2022-04-06 13:42","1.2","280","7.0","240","2022-04-06 12:15","0.0","0.0","0.0","...","0.0","...","9.9","79.6","24.63","10.5","3.2","9","2022-04-06 12:00","2.0"
"07","1013.3","1015.1","1015.0","2022-04-07 08:24","1011.4","2022-04-07 15:26","23.6","28.9","2022-04-07 14:16","18.1","2022-04-07 05:30","18.2","74","41","2022-04-07 13:54","1.2","330","7.4","260","2022-04-07 13:36","0.0","0.0","0.0","...","0.0","...","9.6","77.0","24.17","8.0","5.4","9","2022-04-07 12:00","1.3"
"08","1012.1","1013.9","1013.5","2022-04-08 08:44","1010.4","2022-04-08 15:21","23.9","28.6","2022-04-08 12:38","19.3","2022-04-08 05:55","19.6","78","56","2022-04-08 12:34","1.3","300","8.5","250","2022-04-08 12:41","0.0","0.0","0.0","...","0.0","...","5.8","46.5","20.62","11.5","5.0","10","2022-04-08 13:00","6.8"
"09","1011.1","1012.9","1012.4","2022-04-09 07:32","1009.2","2022-04-09 15:51","25.0","29.6","2022-04-09 12:16","21.6","2022-04-09 06:08","20.2","76","54","2022-04-09 11:43","1.4","280","8.4","260","2022-04-09 13:56","0.0","0.0","0.0","...","0.0","...","8.1","64.8","23.94","11.5","6.4","11","2022-04-09 13:00","4.0"
"10","1010.3","1012.1","1011.9","2022-04-10 08:29","1008.1","2022-04-10 15:25","26.0","31.5","2022-04-10 12:22","20.5","2022-04-10 05:16","19.8","71","42","2022-04-10 13:36","1.5","260","9.0","260","2022-04-10 15:24","T","0.5","T","2022-04-10 23:05","T","2022-04-10 22:50","8.9","71.0","24.24","12.0","-5.5","10","2022-04-10 12:00","4.3"
"11","1009.2","1011.0","1011.0","2022-04-11 08:44","1007.2","2022-04-11 15:07","26.2","30.8","2022-04-11 13:08","22.5","2022-04-11 23:09","20.6","72","55","2022-04-11 15:34","1.7","290","8.3","300","2022-04-11 14:56","0.0","0.0","0.0","...","0.0","...","7.3","58.2","22.55","12.0","6.6","11","2022-04-11 13:00","5.3"
"12","1007.4","1009.2","1009.4","2022-04-12 09:02","1005.3","2022-04-12 16:11","25.9","31.8","2022-04-12 13:38","21.7","2022-04-12 03:35","19.8","70","45","2022-04-12 13:47","1.5","300","8.7","290","2022-04-12 13:46","0.0","0.0","0.0","...","0.0","...","10.0","79.5","25.33","11.5","6.8","10","2022-04-12 12:00","1.0"
"13","1005.6","1007.4","1007.2","2022-04-13 00:01","1003.7","2022-04-13 14:53","25.8","31.3","2022-04-13 11:50","21.4","2022-04-13 04:50","21.1","77","51","2022-04-13 11:16","1.5","280","9.4","280","2022-04-13 14:07","0.0","0.0","0.0","...","0.0","...","7.4","58.8","23.56","11.3","6.0","11","2022-04-13 12:00","6.3"
"14","1005.9","1007.7","1008.2","2022-04-14 22:32","1003.9","2022-04-14 14:51","26.2","30.9","2022-04-14 12:11","22.9","2022-04-14 23:44","21.6","77","56","2022-04-14 11:36","1.9","310","11.4","310","2022-04-14 14:49","0.0","0.0","0.0","...","0.0","...","9.1","72.1","22.94","11.5","7.4","10","2022-04-14 13:00","1.3"
"15","1009.0","1010.8","1011.5","2022-04-15 22:09","1007.4","2022-04-15 02:30","24.5","30.1","2022-04-15 11:55","20.4","2022-04-15 05:18","18.8","72","53","2022-04-15 11:51","1.5","330","7.5","250","2022-04-15 15:00","0.0","0.0","0.0","...","0.0","...","9.6","76.0","24.54","13.5","5.5","8","2022-04-15 11:00","2.0"
"16","1010.9","1012.7","1013.0","2022-04-16 22:13","1009.4","2022-04-16 15:39","23.8","28.0","2022-04-16 11:46","19.7","2022-04-16 05:59","17.5","68","53","2022-04-16 09:54","1.4","300","7.6","250","2022-04-16 12:40","0.0","0.0","0.0","...","0.0","...","6.8","52.9","23.96","11.5","6.8","10","2022-04-16 12:00","4.8"
"17","1013.1","1014.9","1015.0","2022-04-17 08:49","1011.1","2022-04-17 16:27","23.3","28.9","2022-04-17 16:02","19.7","2022-04-17 07:56","17.0","69","51","2022-04-17 16:35","1.3","280","7.9","250","2022-04-17 14:10","0.0","0.0","0.0","...","0.0","...","5.2","41.0","19.20","9.5","3.9","9","2022-04-17 11:00","6.0"
"18","1013.9","1015.7","1015.5","2022-04-18 21:36","1012.1","2022-04-18 15:41","24.4","29.2","2022-04-18 15:11","19.1","2022-04-18 05:10","18.6","71","53","2022-04-18 09:44","1.4","300","9.0","250","2022-04-18 12:36","0.0","0.0","0.0","...","0.0","...","7.8","61.4","22.42","8.8","-6.1","10","2022-04-18 12:00","4.5"
"19","1014.1","1015.9","1015.6","2022-04-19 22:20","1012.8","2022-04-19 03:51","22.9","27.2","2022-04-19 12:43","20.5","2022-04-19 05:38","18.5","76","60","2022-04-19 12:43","0.9","330","5.3","310","2022-04-19 11:15","T","0.2","T","2022-04-19 01:12","T","2022-04-19 01:12","0.2","1.6","9.86","7.3","-3.0","6","2022-04-19 11:00","10.0"
"20","1012.9","1014.7","1014.9","2022-04-20 00:01","1011.1","2022-04-20 16:30","24.2","29.2","2022-04-20 10:16","20.6","2022-04-20 00:24","19.6","76","57","2022-04-20 10:16","1.5","260","8.2","320","2022-04-20 13:10","0.0","0.0","0.0","...","0.0","...","5.6","44.0","21.42","5.0","5.8","7","2022-04-20 14:00","4.3"
"21","1011.7","1013.5","1012.9","2022-04-21 00:01","1010.1","2022-04-21 16:22","25.5","30.7","2022-04-21 11:58","20.1","2022-04-21 05:02","20.3","74","53","2022-04-21 11:58","1.2","260","7.3","280","2022-04-21 11:25","0.0","0.0","0.0","...","0.0","...","9.9","77.6","23.34","8.3","6.0","8","2022-04-21 12:00","3.0"
"22","1011.0","1012.8","1012.8","2022-04-22 08:15","1008.9","2022-04-22 15:56","27.8","33.0","2022-04-22 12:08","21.8","2022-04-22 05:34","22.9","76","53","2022-04-22 12:08","1.9","260","8.0","250","2022-04-22 14:25","0.0","0.0","0.0","...","0.0","...","9.2","72.0","25.49","12.0","-6.6","11","2022-04-22 13:00","3.3"
"23","1009.8","1011.6","1012.0","2022-04-23 08:40","1007.6","2022-04-23 14:49","28.3","33.2","2022-04-23 11:04","24.3","2022-04-23 04:53","24.0","79","52","2022-04-23 11:04","1.7","140","8.5","180","2022-04-23 14:37","0.5","1.4","0.5","2022-04-23 01:56","0.5","2022-04-23 01:56","5.2","40.6","13.05","14.3","-3.4","9","2022-04-23 11:00","5.8"
"24","1008.7","1010.5","1010.1","2022-04-24 08:22","1006.5","2022-04-24 15:51","28.1","32.4","2022-04-24 13:39","24.2","2022-04-24 04:51","23.8","78","63","2022-04-24 09:32","1.7","270","7.5","290","2022-04-24 12:15","0.0","0.0","0.0","...","0.0","...","10.8","84.2","26.66","15.0","6.5","12","2022-04-24 13:00","2.8"
