date,test_code,Taipei_temp,Taipei_max_temp,Taichung_temp,Taichung_max_temp,Kaohsiung_temp,Kaohsiung_max_temp
2022-06-10,0610,26.0,27.5,27.5,29.5,29.0,30.0
2022-06-11,0610,26.5,29.0,28.5,30.0,29.0,30.5
2022-06-12,0610,26.0,28.5,28.5,30.0,29.0,30.5
2022-06-13,0610,27.5,29.5,29.0,31.0,29.5,31.0
2022-06-14,0610,28.5,31.0,29.5,31.5,30.0,31.0
2022-06-15,0610,27.5,29.0,29.0,31.5,29.0,31.0
2022-06-16,0610,26.5,29.0,28.0,30.0,29.0,30.5
2022-06-12,0612,26.5,29.0,28.5,30.0,29.5,31.0
2022-06-13,0612,27.5,30.5,29.0,31.0,30.0,31.0
2022-06-14,0612,29.0,32.0,29.5,32.0,30.0,31.0
2022-06-15,0612,28.0,31.0,29.0,31.5,29.0,30.5
2022-06-16,0612,26.5,29.5,28.5,30.5,29.0,31.0
2022-06-17,0612,27.0,29.5,29.0,31.0,30.0,31.0
2022-06-18,0612,28.0,30.5,29.5,31.5,30.5,32.5
2022-06-14,0614,29.0,32.0,29.5,31.5,29.5,31.0
2022-06-15,0614,27.5,29.5,29.0,30.5,29.0,31.0
2022-06-16,0614,26.5,28.5,28.5,30.0,29.0,31.0
2022-06-17,0614,27.0,29.0,28.5,30.0,29.0,31.0
2022-06-18,0614,28.0,30.5,28.5,30.0,29.5,30.5
2022-06-19,0614,28.0,31.0,29.0,31.0,30.0,31.0
2022-06-20,0614,28.5,30.5,29.0,31.5,30.0,31.0
2022-06-15,0615,26.5,29.5,28.5,30.5,29.0,30.5
2022-06-16,0615,26.5,29.0,28.5,30.5,29.0,30.5
2022-06-17,0615,27.0,30.0,29.0,31.0,29.0,31.0
2022-06-18,0615,28.0,30.5,29.0,31.0,30.0,31.0
2022-06-19,0615,28.5,31.5,29.5,31.5,30.0,31.0
2022-06-20,0615,28.5,31.5,29.5,32.0,30.0,31.5
2022-06-21,0615,28.5,31.0,29.5,31.5,30.0,31.5
2022-06-16,0616,26.0,27.5,27.5,29.0,29.0,29.5
2022-06-17,0616,27.0,29.0,28.5,30.5,29.5,31.0
2022-06-18,0616,27.5,30.0,29.0,31.0,29.0,31.0
2022-06-19,0616,28.0,31.5,29.5,31.5,29.5,31.0
2022-06-20,0616,28.5,32.0,30.5,32.0,29.5,31.0
