date,peak_load_MW
2018-01-01,23624.657534246577
2018-01-02,27827.184466019422
2018-01-03,28249.022556390977
2018-01-04,28777.53303964758
2018-01-05,28246.56992084433
2018-01-06,26052.85505124451
2018-01-07,25007.64119601329
2018-01-08,28790.90909090909
2018-01-09,28917.445482866045
2018-01-10,28426.605504587154
2018-01-11,28577.170418006433
2018-01-12,28103.059581320453
2018-01-13,25679.028132992324
2018-01-14,24691.906005221932
2018-01-15,28266.556291390727
2018-01-16,28275.449101796406
2018-01-17,28347.602739726033
2018-01-18,29070.399999999998
2018-01-19,28477.203647416412
2018-01-20,25890.835579514827
2018-01-21,24705.655526992286
2018-01-22,28259.52045133992
2018-01-23,28367.37400530504
2018-01-24,28224.358974358973
2018-01-25,28336.50793650794
2018-01-26,27536.041939711668
2018-01-27,25399.452804377564
2018-01-28,24547.592385218366
2018-01-29,28404.984423676015
2018-01-30,28609.046849757673
2018-01-31,28356.562137049947
2018-02-01,28514.285714285714
2018-02-02,28188.034188034188
2018-02-03,26350.73409461664
2018-02-04,26290.69767441861
2018-02-05,29051.181102362207
2018-02-06,28489.583333333332
2018-02-07,28907.11462450593
2018-02-08,28431.972789115647
2018-02-09,28297.029702970296
2018-02-10,26023.09913378248
2018-02-11,25356.532356532356
2018-02-12,27336.283185840708
2018-02-13,26303.71352785146
2018-02-14,23491.124260355027
2018-02-15,20987.86828422877
2018-02-16,20756.323777403035
2018-02-17,20284.748309541697
2018-02-18,20985.059760956177
2018-02-19,22085.872576177288
2018-02-20,23272.04968944099
2018-02-21,26513.24503311258
2018-02-22,27297.008547008547
2018-02-23,27103.13315926893
2018-02-24,25321.350762527232
2018-02-25,24684.03908794788
2018-02-26,27443.742098609357
2018-02-27,27824.50331125828
2018-02-28,26382.44514106583
2018-03-01,28371.91358024691
2018-03-02,28134.72222222222
2018-03-03,26060.857538035958
2018-03-04,25437.591776798825
2018-03-05,29487.106017191974
2018-03-06,27975.884244372988
2018-03-07,28449.88864142539
2018-03-08,27925.925925925927
2018-03-09,27605.49132947977
2018-03-10,24949.640287769784
2018-03-11,24239.598278335725
2018-03-12,27938.193343898576
2018-03-13,28431.547619047622
2018-03-14,28541.78674351585
2018-03-15,28947.21407624633
